"site","taxa_type","ecosystem","habitat","biome","guild","year","month","day","plot","unique_ID","unit_abundance","scale_abundance","species","abundance"
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Chromulina ",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon ",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon bavaricum",0.007
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon bavaricum",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Dinobryon dialatatum",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Erkenia subaequiciliata",0.04
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Mallomonas akrokomas",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Stichogloea olivacea",0.008
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Cryptomonas erosa",0.125
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Cryptomonas lucens",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Rhodomonas minuta",0.005
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Aphanizomenon flos-aquae",0.034
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Synechocystis ",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Miscellaneous",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Gymnodinium sp 3",0.003
"CR","producer","aquatic","lake","temperate","plant",2005,8,10,1,"CR_lake_1","mg/L","1L","Peridinium umbonatum",0.006
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Asterionella formosa",0.009
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Tabellaria fenestrata",0.035
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Chlorococcaceae",0
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Chlorophyta",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Ankistrodesmus falcatus",0
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Chlamydomonas ",0.002
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Closterium moniliferum",0.007
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Monomastix astigmata",0
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Chromulina ",0.007
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Chrysolykos planctonicus",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Dinobryon ",0.008
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Dinobryon bavaricum",0.014
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Erkenia subaequiciliata",0.022
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Mallomonas akrokomas",0.002
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Cryptomonas erosa",0.052
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Rhodomonas minuta",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Aphanocapsa elachista",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Aphanothece nidulans",0.002
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Chroococcus minutus",0.004
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Synechococcus elongatus",0
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Synechocystis ",0.001
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Peridinium limbatum",0.309
"CR","producer","aquatic","lake","temperate","plant",2005,11,15,1,"CR_lake_1","mg/L","1L","Bitrichia ochridana",0.002
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Asterionella formosa",0.099
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Cyclotella bodanica",0.024
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Fragilaria construens",0.003
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Fragilaria crotonensis",0.241
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Nitzschia gracilis",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Stephanodiscus parvus",0.022
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Synedra filiformis",0.023
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Synedra ulna",0.079
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chlorococcaceae",0.024
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chlamydomonas ",0.022
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chlorogonium ",0.005
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Monomastix astigmata",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Pyramichlamys dissecta",0.014
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Schroederia judayi",0.011
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chrysophyceae",0.111
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chrysophyceae",0.076
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chromulina ",0.059
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Chrysococcus minutus",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Dinobryon cylindricum",0.007
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Dinobryon cyst",0.007
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Dinobryon divergens",0.04
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Erkenia subaequiciliata",0.023
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Mallomonas ",0.159
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Ochromonas ",0.079
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Uroglena ",0.009
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Cryptomonas erosa",0.085
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Cryptomonas lucens",0.003
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Cryptomonas rostratiformis",0.143
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Rhodomonas minuta",0.073
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Rhodomonas minuta",0.003
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Aphanocapsa delicatissima",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Synechococcus elongatus",0
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Synechocystis ",0.009
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Miscellaneous",0.021
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Gymnodinium sp 2",0.016
"AL","producer","aquatic","lake","temperate","plant",2005,4,19,1,"AL_lake_1","mg/L","1L","Gymnodinium sp 3",0.004
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Cyclotella meneghiniana",0.014
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Cyclotella pseudostelligera",0.005
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Fragilaria crotonensis",0.092
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Synedra filiformis",0.021
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Chlorococcaceae",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Chlamydomonas ",0.009
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Oocystis parva",0.003
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Quadrigula lacustris",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Scenedesmus bijuga",0
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Ulothrix ",0.3
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Chromulina ",0.013
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Dinobryon ",0.097
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Dinobryon sertularia",0.014
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Dinobryon sociale",0.03
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Erkenia subaequiciliata",0.027
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Mallomonas ",0.061
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Cryptomonas erosa",0.038
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Cryptomonas lucens",0.002
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Rhodomonas minuta",0.018
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Rhodomonas minuta",0.003
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Anabaena circinalis",0.147
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Anabaena planctonica",0.23
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Anabaena spiroides",0.116
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Aphanizomenon flos-aquae",0.74
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Aphanocapsa delicatissima",0.011
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Aphanothece nidulans",0.007
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Coelosphaerium naegelianum",0.006
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Gomphosphaeria lacustris",0.018
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Merismopedia tenuissima",0
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Oscillatoria ",0.15
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Oscillatoria limnetica",0.015
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Planktothrix agardhii",0.162
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Synechococcus elongatus",0.002
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Synechocystis ",0.003
"AL","producer","aquatic","lake","temperate","plant",2005,8,8,1,"AL_lake_1","mg/L","1L","Gymnodinium sp 2",0.009
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Asterionella formosa",0.417
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Aulacoseira ambigua",0.343
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Fragilaria crotonensis",0.122
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Tabellaria flocculosa",0.276
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Chlamydomonas ",0.019
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Chlamydomonas globosa",0.005
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Monomastix astigmata",0
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Chromulina ",0.03
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Erkenia subaequiciliata",0.012
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Mallomonas ",0.186
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Uroglena ",0.117
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Cryptomonas erosa",0.055
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Cryptomonas rostratiformis",0.064
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Rhodomonas minuta",0.017
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Rhodomonas minuta",0.007
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Aphanizomenon flos-aquae",0.118
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Aphanothece nidulans",0.001
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Coelosphaerium naegelianum",0.026
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Synechocystis ",0.007
"AL","producer","aquatic","lake","temperate","plant",2005,11,8,1,"AL_lake_1","mg/L","1L","Miscellaneous",0.002
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Asterionella formosa",0.204
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Cyclotella ocellata",0.032
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Nitzschia gracilis",0.013
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Synedra cyclopum",0.122
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Tabellaria flocculosa",0.016
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Chlorococcaceae",0.007
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Ankistrodesmus falcatus",0.004
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Chlamydomonas ",0.036
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Nannochloris ",0.014
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Schroederia judayi",0.007
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Chrysocapsaceae",0.003
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Chrysolykos planctonicus",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Dinobryon ",0.033
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Dinobryon bavaricum",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Dinobryon cyst",0.014
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Dinobryon divergens",0.002
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Dinobryon sertularia",0.023
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Dinobryon sertularia",0.004
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Erkenia subaequiciliata",0.07
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Mallomonas ",0.011
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Mallomonas akrokomas",0.003
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Uroglena ",0.146
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Cryptomonas erosa",0.217
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Cryptomonas rostratiformis",0.168
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Rhodomonas minuta",0.03
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Rhodomonas minuta",0.003
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Aphanocapsa delicatissima",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Synechococcus elongatus",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Synechocystis ",0.003
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Miscellaneous",0.014
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Gymnodinium sp 2",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Gymnodinium sp 3",0.006
"BM","producer","aquatic","lake","temperate","plant",2005,4,22,1,"BM_lake_1","mg/L","1L","Peridinium umbonatum",0.206
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Chlorococcaceae",0.004
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Crucigenia rectangularis",0.022
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Monoraphidium capricornutum",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Nannochloris ",0.031
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Quadrigula lacustris",0.003
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Sphaerocystis schroeteri",0.003
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Chrysocapsaceae",0.007
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Dinobryon cyst",0.014
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Erkenia subaequiciliata",0.031
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Uroglena ",0.023
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Cryptomonas erosa",0.034
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Rhodomonas minuta",0.005
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Aphanocapsa elachista",0.001
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Aphanothece nidulans",0.076
"BM","producer","aquatic","lake","temperate","plant",2005,8,10,1,"BM_lake_1","mg/L","1L","Coelosphaerium naegelianum",0.001
